species,island,calorie requirement,average sleep duration,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,gender,year
0.0,1.0,0.8283238559436772,0.5714285714285714,0.2545454545454545,0.6666666666666666,0.15254237288135594,0.2916666666666667,1.0,0.0
0.0,1.0,0.3753046303818034,1.0,0.26909090909090905,0.5119047619047618,0.23728813559322035,0.3055555555555556,0.0,0.0
0.0,1.0,0.9964798266991606,0.5714285714285714,0.29818181818181805,0.5833333333333334,0.3898305084745763,0.1527777777777778,0.0,0.0
0.0,1.0,0.1800704034660168,0.14285714285714285,0.5363636363636362,0.011904761904761862,0.5169491525423728,0.375,1.0,0.0
0.0,1.0,0.3438938532358516,0.14285714285714285,0.16727272727272732,0.7380952380952381,0.3559322033898305,0.20833333333333334,0.0,0.0
0.0,1.0,0.24343352288112646,0.8571428571428571,0.26181818181818167,0.892857142857143,0.3050847457627119,0.2638888888888889,1.0,0.0
0.0,1.0,0.4243162740319523,0.5714285714285714,0.24727272727272717,0.5595238095238096,0.15254237288135594,0.2569444444444444,0.0,0.0
0.0,1.0,0.892228540481993,0.2857142857142857,0.25818181818181823,0.773809523809524,0.3898305084745763,0.5486111111111112,1.0,0.0
0.0,1.0,0.5656647711887355,0.14285714285714285,0.07272727272727272,0.5952380952380955,0.3559322033898305,0.2152777777777778,1.0,0.0
0.0,1.0,0.7503384782020038,0.0,0.35999999999999993,0.8452380952380951,0.3050847457627119,0.4305555555555556,1.0,0.0
0.0,1.0,0.44164635797454643,0.42857142857142855,0.2072727272727271,0.4761904761904764,0.23728813559322035,0.16666666666666666,1.0,0.0
0.0,1.0,0.6815597075548334,0.0,0.2072727272727271,0.5000000000000001,0.13559322033898305,0.2777777777777778,1.0,0.0
0.0,1.0,0.8502572434335229,0.7142857142857143,0.32727272727272727,0.5357142857142859,0.1694915254237288,0.1388888888888889,0.0,0.0
0.0,1.0,0.35418359057676685,0.42857142857142855,0.23636363636363636,0.9642857142857142,0.3220338983050847,0.3055555555555556,1.0,0.0
0.0,1.0,0.3008394259409694,0.2857142857142857,0.09090909090909091,0.9523809523809526,0.4406779661016949,0.4722222222222222,1.0,0.0
0.0,1.0,0.9542377470890875,0.42857142857142855,0.16363636363636364,0.5595238095238096,0.22033898305084745,0.2777777777777778,0.0,0.0
0.0,1.0,0.13187110750067696,0.7142857142857143,0.24000000000000005,0.7023809523809524,0.3898305084745763,0.20833333333333334,0.0,0.0
0.0,1.0,0.8229082047116165,0.14285714285714285,0.47636363636363643,0.9047619047619047,0.423728813559322,0.5,1.0,0.0
0.0,1.0,0.5548334687246141,0.14285714285714285,0.08363636363636354,0.6309523809523808,0.2033898305084746,0.1736111111111111,0.0,0.0
0.0,1.0,0.982669916057406,0.0,0.5054545454545454,1.0,0.3728813559322034,0.4166666666666667,1.0,0.0
0.0,0.0,0.17546709991876522,0.0,0.2072727272727271,0.6190476190476192,0.03389830508474576,0.19444444444444445,0.0,0.0
0.0,0.0,0.17167614405632278,0.14285714285714285,0.47636363636363643,0.6666666666666666,0.13559322033898305,0.25,1.0,0.0
0.0,0.0,0.1389114541023558,0.7142857142857143,0.13818181818181807,0.7261904761904762,0.288135593220339,0.3055555555555556,0.0,0.0
0.0,0.0,0.2799891686975359,0.5714285714285714,0.22181818181818186,0.5952380952380955,0.22033898305084745,0.3472222222222222,1.0,0.0
0.0,0.0,0.8662334145681018,0.42857142857142855,0.24363636363636348,0.488095238095238,0.13559322033898305,0.3055555555555556,1.0,0.0
0.0,0.0,0.6688329271594909,0.8571428571428571,0.11636363636363621,0.6904761904761904,0.2542372881355932,0.3055555555555556,0.0,0.0
0.0,0.0,0.4156512320606553,0.14285714285714285,0.3090909090909091,0.654761904761905,0.1864406779661017,0.2361111111111111,1.0,0.0
0.0,0.0,0.8248036826428378,0.14285714285714285,0.3054545454545454,0.5714285714285713,0.2542372881355932,0.1388888888888889,0.0,0.0
0.0,0.0,0.10722989439480098,0.5714285714285714,0.2109090909090908,0.654761904761905,0.0,0.125,0.0,0.0
0.0,0.0,0.47386948280530733,0.0,0.3054545454545454,0.6904761904761904,0.13559322033898305,0.3472222222222222,1.0,0.0
0.0,0.5,0.5407527755212564,0.5714285714285714,0.26909090909090905,0.4285714285714285,0.1016949152542373,0.1527777777777778,0.0,0.0
0.0,0.5,0.044408340102897376,0.42857142857142855,0.1854545454545455,0.5952380952380955,0.1016949152542373,0.3333333333333333,1.0,0.0
0.0,0.5,0.8656918494448957,0.2857142857142857,0.26909090909090905,0.5595238095238096,0.2711864406779661,0.16666666666666666,0.0,0.0
0.0,0.5,0.8776062821554292,0.42857142857142855,0.3199999999999999,0.6904761904761904,0.2033898305084746,0.3333333333333333,1.0,0.0
0.0,0.5,0.27484430002707827,1.0,0.15636363636363626,0.4642857142857143,0.3898305084745763,0.1736111111111111,0.0,0.0
0.0,0.5,0.1502843216896832,0.7142857142857143,0.25818181818181823,0.9523809523809526,0.4067796610169492,0.4027777777777778,1.0,0.0
0.0,0.5,0.06877877064717032,0.0,0.24363636363636348,0.5000000000000001,0.3050847457627119,0.3472222222222222,1.0,0.0
0.0,0.5,0.941781749255348,0.2857142857142857,0.3672727272727273,0.6428571428571429,0.13559322033898305,0.2361111111111111,0.0,0.0
0.0,0.5,0.49147034930950445,0.0,0.2,0.7380952380952381,0.15254237288135594,0.16666666666666666,0.0,0.0
0.0,0.5,0.2469536961819659,0.0,0.27999999999999986,0.7142857142857144,0.2033898305084746,0.5416666666666666,1.0,0.0
0.0,0.5,0.6923910100189548,0.8571428571428571,0.15999999999999995,0.5833333333333334,0.1694915254237288,0.125,0.0,0.0
0.0,0.5,0.08773354995938261,1.0,0.31636363636363624,0.6309523809523808,0.3898305084745763,0.3333333333333333,1.0,0.0
0.0,0.5,0.3547251556999729,0.2857142857142857,0.14181818181818176,0.6428571428571429,0.23728813559322035,0.1111111111111111,0.0,0.0
0.0,0.5,0.97590035201733,0.7142857142857143,0.43636363636363634,0.7857142857142856,0.4067796610169492,0.4722222222222222,1.0,0.0
0.0,0.5,0.12076902247495261,0.8571428571428571,0.17818181818181814,0.4523809523809522,0.22033898305084745,0.08333333333333333,0.0,0.0
0.0,0.5,0.5789331167072841,1.0,0.2727272727272727,0.6785714285714287,0.3050847457627119,0.5277777777777778,1.0,0.0
0.0,0.5,0.7673977795829948,0.14285714285714285,0.32727272727272727,0.7023809523809524,0.1694915254237288,0.2013888888888889,1.0,0.0
0.0,0.5,0.6593555375033848,0.0,0.19636363636363632,0.6904761904761904,0.11864406779661017,0.0763888888888889,1.0,0.0
0.0,0.5,0.3103168155970755,0.0,0.14181818181818176,0.5714285714285713,0.3050847457627119,0.20833333333333334,0.0,0.0
0.0,0.5,0.6225291091253723,0.7142857142857143,0.37090909090909074,0.9642857142857142,0.3220338983050847,0.4027777777777778,1.0,0.0
0.0,0.0,0.12618467370701328,0.14285714285714285,0.2727272727272727,0.5476190476190476,0.23728813559322035,0.2222222222222222,0.0,0.5
0.0,0.0,0.30760898998104524,0.14285714285714285,0.2909090909090909,0.6904761904761904,0.2711864406779661,0.4444444444444444,1.0,0.5
0.0,0.0,0.01868399675060926,0.14285714285714285,0.1054545454545454,0.5714285714285713,0.3050847457627119,0.20833333333333334,0.0,0.5
0.0,0.0,0.5607906850798808,1.0,0.35999999999999993,0.7619047619047619,0.4745762711864407,0.375,1.0,0.5
0.0,0.0,0.7481722177091795,0.2857142857142857,0.08727272727272722,0.5952380952380955,0.2542372881355932,0.05555555555555555,0.0,0.5
0.0,0.0,0.6274031952342269,0.8571428571428571,0.3381818181818181,0.654761904761905,0.3220338983050847,0.2777777777777778,1.0,0.5
0.0,0.0,0.3617655023016518,0.42857142857142855,0.25090909090909086,0.5238095238095238,0.23728813559322035,0.2361111111111111,0.0,0.5
0.0,0.0,0.7414026536691037,0.0,0.3090909090909091,0.6785714285714287,0.3559322033898305,0.3055555555555556,1.0,0.5
0.0,0.0,0.29406986190089357,0.42857142857142855,0.15999999999999995,0.41666666666666685,0.15254237288135594,0.041666666666666664,0.0,0.5
0.0,0.0,0.4031952342269158,0.8571428571428571,0.2,0.7142857142857144,0.3728813559322034,0.2916666666666667,1.0,0.5
0.0,0.0,0.8640671540752776,0.42857142857142855,0.13090909090909095,0.4523809523809522,0.22033898305084745,0.125,0.0,0.5
0.0,0.0,0.05821825074465205,0.8571428571428571,0.33454545454545437,0.9523809523809526,0.3898305084745763,0.4722222222222222,1.0,0.5
0.0,0.0,0.4606011372867587,0.0,0.2,0.4642857142857143,0.22033898305084745,0.25,0.0,0.5
0.0,0.0,0.21554291903601408,0.14285714285714285,0.32727272727272727,0.6071428571428571,0.3389830508474576,0.375,1.0,0.5
0.0,0.0,0.7828323855943677,0.7142857142857143,0.15636363636363626,0.4761904761904764,0.2033898305084746,0.041666666666666664,0.0,0.5
0.0,0.0,0.8543189818575684,0.7142857142857143,0.34545454545454546,0.5833333333333334,0.3389830508474576,0.3472222222222222,1.0,0.5
0.0,0.0,0.17709179528838342,0.0,0.12363636363636359,0.369047619047619,0.3898305084745763,0.18055555555555555,0.0,0.5
0.0,0.0,0.8421337665854319,0.5714285714285714,0.32727272727272727,0.7142857142857144,0.2711864406779661,0.3888888888888889,1.0,0.5
0.0,1.0,0.6049282426211752,0.42857142857142855,0.13818181818181807,0.41666666666666685,0.3050847457627119,0.09722222222222222,0.0,0.5
0.0,1.0,0.3295423774708909,0.42857142857142855,0.35272727272727256,0.7499999999999999,0.4406779661016949,0.4861111111111111,1.0,0.5
0.0,1.0,0.07121581370159762,0.2857142857142857,0.050909090909090855,0.7023809523809524,0.3050847457627119,0.25,0.0,0.5
0.0,1.0,0.13268345518548605,0.2857142857142857,0.2763636363636364,0.6309523809523808,0.3050847457627119,0.3333333333333333,1.0,0.5
0.0,1.0,0.12212293528296778,0.7142857142857143,0.47636363636363643,0.488095238095238,0.4067796610169492,0.4513888888888889,1.0,0.5
0.0,1.0,0.08719198483617654,0.8571428571428571,0.498181818181818,0.6904761904761904,0.423728813559322,0.4027777777777778,1.0,0.5
0.0,1.0,0.15922014622258326,0.2857142857142857,0.12363636363636359,0.5238095238095238,0.3050847457627119,0.2777777777777778,0.0,0.5
0.0,1.0,0.5139453019225562,0.0,0.38909090909090893,0.6428571428571429,0.3898305084745763,0.4305555555555556,1.0,0.5
0.0,1.0,0.8082859463850528,0.14285714285714285,0.3199999999999999,0.4404761904761906,0.3220338983050847,0.2777777777777778,0.0,0.5
0.0,1.0,0.37232602220417005,0.42857142857142855,0.1854545454545455,0.7499999999999999,0.2033898305084746,0.3333333333333333,1.0,0.5
0.0,1.0,0.9937720010831302,1.0,0.14909090909090914,0.3571428571428573,0.2542372881355932,0.2361111111111111,0.0,0.5
